WBS_ID,Parent_WBS_ID,Giai_doan,Cong_viec,Mo_ta_chi_tiet,Dau_ra_mong_doi,Vai_tro_phu_trach,Phu_thuoc,Uoc_tinh_ngay_cong,Do_uu_tien
1,,Khởi động dự án,Khởi tạo dự án,"Xác định mục tiêu, phạm vi, stack công nghệ Java Spring Boot + Next.js + MySQL, danh sách thành viên và cách làm việc.","Project charter, kế hoạch tổng quan",PM/BA/Tech Lead,,1,Cao
1.1,1,Khởi động dự án,Rà soát yêu cầu nghiệp vụ,"Đọc lại SRS, Use Case, ERD, Activity, Sequence để chốt phạm vi triển khai bản đầu tiên.",Danh sách yêu cầu đã chốt,BA/Tech Lead,1,1,Cao
1.2,1,Khởi động dự án,Chốt phạm vi MVP,"Xác định chức năng bắt buộc cho phiên bản đầu: đăng ký, đăng nhập, xem phim, tìm kiếm, thích, lưu phim, bình luận, đánh giá, gợi ý, admin CRUD.",Backlog MVP,PM/BA/Product Owner,1.1,1,Cao
1.3,1,Khởi động dự án,Thiết lập cách quản lý công việc,"Thiết lập board công việc, quy tắc branch, commit convention, code review, Definition of Done.",Quy trình làm việc nhóm,PM/Tech Lead,1.2,0.5,Trung bình
2,,Chuẩn bị môi trường,Thiết lập môi trường phát triển,"Chuẩn bị JDK, Maven/Gradle, Node.js, pnpm/npm, MySQL, IDE, Postman/Bruno, Docker nếu có.",Máy dev sẵn sàng,Toàn đội,1.2,1,Cao
2.1,2,Chuẩn bị môi trường,Tạo monorepo hoặc repo riêng,"Khởi tạo cấu trúc thư mục cho backend, frontend, database, docs, scripts.",Repository khởi tạo,Tech Lead,2,0.5,Cao
2.2,2,Chuẩn bị môi trường,Thiết lập backend Spring Boot,"Tạo project Spring Boot, cấu hình package base, application.yml theo dev/test/prod.",Backend chạy được bản rỗng,Backend Dev,2.1,1,Cao
2.3,2,Chuẩn bị môi trường,Thiết lập frontend Next.js,"Tạo project Next.js App Router, cấu hình TypeScript, ESLint, Prettier, alias import.",Frontend chạy được bản rỗng,Frontend Dev,2.1,1,Cao
2.4,2,Chuẩn bị môi trường,Thiết lập cơ sở dữ liệu MySQL,"Tạo schema database, cấu hình connection local, user/password, timezone, charset UTF-8.",MySQL sẵn sàng kết nối,Backend Dev/DBA,2,0.5,Cao
2.5,2,Chuẩn bị môi trường,Thiết lập Flyway,"Chuẩn bị migration versioned để quản lý schema, seed cơ bản và rollback strategy.",Cơ chế migration hoạt động,Backend Dev,2.4,1,Cao
2.6,2,Chuẩn bị môi trường,Thiết lập CI cơ bản,"Tạo workflow lint, build backend/frontend, chạy test cơ bản mỗi pull request.",Pipeline CI cơ bản,Tech Lead/DevOps,"2.2,2.3",1,Trung bình
3,,Phân tích và thiết kế,Hoàn thiện tài liệu phân tích,"Đóng gói tài liệu SRS, Use Case, WBS, ERD, Activity và Sequence để làm chuẩn triển khai.",Bộ tài liệu thống nhất,BA/Tech Lead,1.2,1,Cao
3.1,3,Phân tích và thiết kế,Thiết kế kiến trúc hệ thống,"Xác định kiến trúc client-server, phân lớp controller-service-repository, auth flow, media delivery, recommendation flow.",Tài liệu kiến trúc,Tech Lead,3,1,Cao
3.2,3,Phân tích và thiết kế,Thiết kế module backend,"Tách các module: auth, users, movies, genres, comments, ratings, likes, watchlist, history, recommendation, admin.",Danh sách module backend,Tech Lead/Backend Dev,3.1,1,Cao
3.3,3,Phân tích và thiết kế,Thiết kế cấu trúc frontend,"Thiết kế route App Router, layout, auth guard, feature folders, shared UI components.",Cấu trúc frontend chi tiết,Tech Lead/Frontend Dev,3.1,1,Cao
3.4,3,Phân tích và thiết kế,Thiết kế API contract,"Xác định endpoint, request/response, mã lỗi, phân trang, xác thực JWT/cookie, quy tắc upload poster/video.",Tài liệu API,Tech Lead/Backend Dev,"3.2,3.3",2,Cao
3.5,3,Phân tích và thiết kế,Thiết kế mô hình dữ liệu,"Chuẩn hóa từ ERD sang bảng MySQL, khóa chính/ngoại, index, unique, soft delete nếu cần.",Schema vật lý,Backend Dev/DBA,3.1,1.5,Cao
3.6,3,Phân tích và thiết kế,Thiết kế chiến lược gợi ý phim,"Định nghĩa logic recommendation v1 dựa trên thể loại yêu thích, lịch sử xem, lượt thích, đánh giá, fallback phim phổ biến.",Rule recommendation v1,Tech Lead/Backend Dev,"3.2,3.5",1.5,Cao
4,,Thiết kế và tạo CSDL,Triển khai database schema,Chuyển ERD sang migration MySQL chi tiết.,Schema database hoàn chỉnh,Backend Dev/DBA,3.5,2,Cao
4.1,4,Thiết kế và tạo CSDL,Tạo bảng ROLE,"Lưu vai trò người dùng như ADMIN, USER.",Migration bảng ROLE,Backend Dev/DBA,4,0.5,Cao
4.2,4,Thiết kế và tạo CSDL,Tạo bảng USERS,"Lưu tài khoản, thông tin cá nhân, hash mật khẩu, role.",Migration bảng USERS,Backend Dev/DBA,4,0.5,Cao
4.3,4,Thiết kế và tạo CSDL,Tạo bảng GENRE,Lưu danh mục thể loại phim.,Migration bảng GENRE,Backend Dev/DBA,4,0.5,Cao
4.4,4,Thiết kế và tạo CSDL,Tạo bảng USERS_GENRE,Lưu sở thích thể loại theo người dùng.,Migration bảng USERS_GENRE,Backend Dev/DBA,4,0.5,Cao
4.5,4,Thiết kế và tạo CSDL,Tạo bảng MOVIES,"Lưu dữ liệu phim: tiêu đề, mô tả, poster, thời lượng, trạng thái, điểm rating.",Migration bảng MOVIES,Backend Dev/DBA,4,0.5,Cao
4.6,4,Thiết kế và tạo CSDL,Tạo bảng MOVIES_GENRE,Liên kết nhiều-nhiều giữa phim và thể loại.,Migration bảng MOVIES_GENRE,Backend Dev/DBA,4,0.5,Cao
4.7,4,Thiết kế và tạo CSDL,Tạo bảng EPISODES,Lưu tập phim đối với phim bộ.,Migration bảng EPISODES,Backend Dev/DBA,4,0.5,Cao
4.8,4,Thiết kế và tạo CSDL,Tạo bảng ACTORS,Lưu diễn viên.,Migration bảng ACTORS,Backend Dev/DBA,4,0.5,Cao
4.9,4,Thiết kế và tạo CSDL,Tạo bảng MOVIES_ACTORS,Liên kết phim và diễn viên.,Migration bảng MOVIES_ACTORS,Backend Dev/DBA,4,0.5,Cao
4.10,4,Thiết kế và tạo CSDL,Tạo bảng DIRECTORS,Lưu đạo diễn.,Migration bảng DIRECTORS,Backend Dev/DBA,4,0.5,Cao
4.11,4,Thiết kế và tạo CSDL,Tạo bảng MOVIES_DIRECTORS,Liên kết phim và đạo diễn.,Migration bảng MOVIES_DIRECTORS,Backend Dev/DBA,4,0.5,Cao
4.12,4,Thiết kế và tạo CSDL,Tạo bảng COMMENTS,Lưu bình luận phim.,Migration bảng COMMENTS,Backend Dev/DBA,4,0.5,Cao
4.13,4,Thiết kế và tạo CSDL,Tạo bảng RATINGS,Lưu đánh giá phim theo người dùng.,Migration bảng RATINGS,Backend Dev/DBA,4,0.5,Cao
4.14,4,Thiết kế và tạo CSDL,Tạo bảng LIKES,Lưu lượt thích phim.,Migration bảng LIKES,Backend Dev/DBA,4,0.5,Cao
4.15,4,Thiết kế và tạo CSDL,Tạo bảng WATCH_LOGS,Lưu lịch sử và tiến độ xem phim.,Migration bảng WATCH_LOGS,Backend Dev/DBA,4,0.5,Cao
4.16,4,Thiết kế và tạo CSDL,Tạo bảng SEARCH_HISTORY,Lưu lịch sử tìm kiếm.,Migration bảng SEARCH_HISTORY,Backend Dev/DBA,4,0.5,Cao
4.17,4,Thiết kế và tạo CSDL,Tạo bảng SCHEDULES,Lưu lịch chiếu/thời gian phát hành.,Migration bảng SCHEDULES,Backend Dev/DBA,4,0.5,Cao
4.18,4,Thiết kế và tạo CSDL,Tạo index và ràng buộc,"Bổ sung index cho tìm kiếm, join, recommendation; unique constraint cho likes/ratings/users.",Tối ưu truy vấn cơ bản,Backend Dev/DBA,4.1-4.17,1,Cao
4.19,4,Thiết kế và tạo CSDL,Seed dữ liệu mẫu,"Sinh dữ liệu mẫu thể loại, phim, tài khoản admin, người dùng test, rating và watch logs demo.",Dữ liệu demo ban đầu,Backend Dev/DBA,4.18,1,Trung bình
5,,Phát triển backend nền tảng,Xây dựng khung backend,Tạo các thành phần dùng chung cho hệ thống Spring Boot.,Khung backend sẵn sàng phát triển chức năng,Backend Dev,"2.2,3.2,4",2,Cao
5.1,5,Phát triển backend nền tảng,Cấu hình security,"Thiết lập Spring Security, mã hóa mật khẩu BCrypt, phân quyền USER/ADMIN, CORS, exception handling.",Security base,Backend Dev,5,1.5,Cao
5.2,5,Phát triển backend nền tảng,Cấu hình auth token/session,"Chọn JWT hoặc cookie-based auth, refresh token nếu dùng, filter xác thực.",Cơ chế xác thực hoàn chỉnh,Backend Dev,5.1,1.5,Cao
5.3,5,Phát triển backend nền tảng,Tạo base response và error code,"Chuẩn hóa API response, lỗi validate, lỗi business, lỗi server.",Chuẩn phản hồi API,Backend Dev,5,1,Trung bình
5.4,5,Phát triển backend nền tảng,Tạo lớp dùng chung,"BaseEntity, auditing createdAt/updatedAt, mapper, pagination helper, constants.",Core common package,Backend Dev,5,1,Trung bình
5.5,5,Phát triển backend nền tảng,Tạo tài liệu OpenAPI,Sinh Swagger/OpenAPI cho endpoint backend.,Swagger UI hoạt động,Backend Dev,5.3,0.5,Trung bình
6,,Phát triển backend chức năng người dùng,Xây dựng các API cho người dùng,Triển khai nghiệp vụ phía backend cho user/public.,Các API user/public hoàn chỉnh,Backend Dev,5,7,Cao
6.1,6,Phát triển backend chức năng người dùng,Module Auth,"API đăng ký, đăng nhập, đăng xuất, lấy profile, đổi mật khẩu/cập nhật tài khoản.",API auth hoạt động,Backend Dev,"5.1,5.2",2,Cao
6.2,6,Phát triển backend chức năng người dùng,Module Movies public,"API danh sách phim, chi tiết phim, top phim, phim đánh giá cao, phim đang chiếu, phim đã hoàn thành.",API movie public,Backend Dev,"4.5,4.17",2,Cao
6.3,6,Phát triển backend chức năng người dùng,Module Search,"API tìm kiếm phim theo từ khóa, lọc theo thể loại, lưu SEARCH_HISTORY khi đã đăng nhập.",API search,Backend Dev,"6.2,4.16",1.5,Cao
6.4,6,Phát triển backend chức năng người dùng,Module Watch logs,"API lưu lịch sử xem, tiến độ xem, tiếp tục xem, lấy lịch sử xem.",API watch history,Backend Dev,"6.2,4.15",1.5,Cao
7,,Phát triển backend tương tác phim,Xây dựng các API tương tác,"Triển khai like, watchlist, comments, ratings, favorite genres.",API tương tác hoạt động,Backend Dev,6,5,Cao
7.1,7,Phát triển backend tương tác phim,Module Likes,"API thích/bỏ thích phim, chống trùng like.",API likes,Backend Dev,4.14,1,Cao
7.2,7,Phát triển backend tương tác phim,Module Watchlist,"API lưu phim theo dõi, bỏ lưu, danh sách theo dõi. Nếu chưa có bảng thì tạo migration watchlist riêng.",API watchlist,Backend Dev,4,1.5,Cao
7.3,7,Phát triển backend tương tác phim,Module Comments,"API thêm, sửa, xóa, lấy danh sách bình luận theo phim.",API comments,Backend Dev,4.12,1.5,Cao
7.4,7,Phát triển backend tương tác phim,Module Ratings,"API tạo/cập nhật rating, tính điểm trung bình và số lượng rating của phim.",API ratings,Backend Dev,4.13,1,Cao
7.5,7,Phát triển backend tương tác phim,Module Favorite Genres,API lấy/cập nhật thể loại yêu thích của người dùng.,API sở thích thể loại,Backend Dev,"4.3,4.4",1,Cao
